# Energy [keV] | SR1 [events/(t.y.keV)] | upper [events/(t.y.keV)] | lower [events/(t.y.keV)] | residual
1.500000000000000000e+00 3.984199999999999875e+01 4.779500000000000171e+01 3.188800000000000168e+01 6.929999999999999494e-01
2.500000000000000000e+00 9.407599999999999341e+01 1.062720000000000056e+02 8.180500000000000682e+01 2.731599999999999806e+00
3.500000000000000000e+00 8.476000000000000512e+01 9.627299999999999613e+01 7.324599999999999511e+01 1.751400000000000068e+00
4.500000000000000000e+00 7.226099999999999568e+01 8.279000000000000625e+01 6.165699999999999648e+01 6.452999999999999847e-01
5.500000000000000000e+00 7.544299999999999784e+01 8.604699999999999704e+01 6.468699999999999761e+01 9.227999999999999536e-01
6.500000000000000000e+00 7.226099999999999568e+01 8.294199999999999307e+01 6.158100000000000307e+01 6.218000000000000194e-01
7.500000000000000000e+00 6.779200000000000159e+01 7.786700000000000443e+01 5.733899999999999864e+01 1.194999999999999951e-01
8.500000000000000000e+00 6.302000000000000313e+01 7.286700000000000443e+01 5.339999999999999858e+01 -3.827999999999999736e-01
9.500000000000000000e+00 6.158100000000000307e+01 7.127700000000000102e+01 5.173400000000000176e+01 -5.832000000000000517e-01
1.050000000000000000e+01 5.665800000000000125e+01 6.627700000000000102e+01 4.734100000000000108e+01 -1.060400000000000009e+00
1.150000000000000000e+01 7.832099999999999795e+01 8.953199999999999648e+01 6.741400000000000148e+01 1.154300000000000104e+00
1.250000000000000000e+01 6.309599999999999653e+01 7.294299999999999784e+01 5.317300000000000182e+01 -3.543000000000000038e-01
1.350000000000000000e+01 6.468699999999999761e+01 7.460999999999999943e+01 5.461200000000000188e+01 -1.774000000000000021e-01
1.450000000000000000e+01 7.847299999999999898e+01 8.953199999999999648e+01 6.756499999999999773e+01 1.156800000000000050e+00
1.550000000000000000e+01 7.226099999999999568e+01 8.294199999999999307e+01 6.165699999999999648e+01 3.778000000000000247e-01
1.650000000000000000e+01 7.392799999999999727e+01 8.453199999999999648e+01 6.309599999999999653e+01 7.056999999999999940e-01
1.750000000000000000e+01 3.681199999999999761e+01 4.431099999999999994e+01 2.946399999999999864e+01 -3.997799999999999798e+00
1.850000000000000000e+01 6.620199999999999818e+01 7.620000000000000284e+01 5.635499999999999687e+01 -9.769999999999999518e-02
1.950000000000000000e+01 6.453499999999999659e+01 7.468500000000000227e+01 5.438499999999999801e+01 -2.728999999999999759e-01
2.050000000000000000e+01 5.203699999999999903e+01 6.135399999999999920e+01 4.309899999999999665e+01 -1.705999999999999961e+00
2.150000000000000000e+01 6.468699999999999761e+01 7.460999999999999943e+01 5.453699999999999903e+01 -2.963999999999999968e-01
2.250000000000000000e+01 6.142999999999999972e+01 7.127700000000000102e+01 5.173400000000000176e+01 -6.730000000000000426e-01
2.350000000000000000e+01 5.839999999999999858e+01 6.779200000000000159e+01 4.893099999999999739e+01 -9.739999999999999769e-01
2.450000000000000000e+01 8.142700000000000671e+01 9.278900000000000148e+01 7.044299999999999784e+01 1.165200000000000014e+00
2.550000000000000000e+01 6.317199999999999704e+01 7.286700000000000443e+01 5.324900000000000233e+01 -4.440000000000000058e-01
2.650000000000000000e+01 8.778900000000000148e+01 9.953000000000000114e+01 7.612399999999999523e+01 1.745500000000000052e+00
2.750000000000000000e+01 5.991499999999999915e+01 6.968600000000000705e+01 5.037100000000000222e+01 -8.447999999999999954e-01
2.850000000000000000e+01 7.074599999999999511e+01 8.127500000000000568e+01 6.014200000000000301e+01 2.378000000000000114e-01
2.950000000000000000e+01 5.370300000000000296e+01 6.279299999999999926e+01 4.468999999999999773e+01 -1.622999999999999998e+00
